"species.name","Whisker.Type","top.peak.dist","bottom.peak.dist","crest.width","trough.width","total.length","num.beads","Geomean","CT.ratio"
"Harp","Beaded",1.71040513169856,1.70964499021234,0.645893689326336,0.586296321240996,4.47963098668066,2.60448087465316,1.377542719782,1.10165059190409
"Harp","Beaded",1.60479680486719,1.55928201328316,0.639720729877115,0.464350290831145,4.53425248204236,1.76110452102142,1.27507964578339,1.37766841651391
"Harp","Beaded",1.531571690941,1.36174631971552,0.536400158506341,0.461159487685107,4.23131275385664,1.61832801870851,1.16898716452869,1.16315542199711
"Harp","Beaded",1.47804516650965,1.39607530031137,0.598161847605338,0.465973604463034,4.39321937909285,1.99387445681977,1.20368235185079,1.28368182634429
"Harp","Beaded",1.51957266287807,1.6544962480233,0.60780482425931,0.516339568058675,4.31470778091041,1.8998865322814,1.27763746757323,1.17714167547632
"Harp","Beaded",1.7241521673722,1.64819854002832,0.718032269403901,0.657015775598394,4.50593201956926,2.14262189387023,1.43290666439757,1.09286914572171
"Harp","Beaded",1.33311513981648,1.45328747927413,0.647397680321137,0.463995551758073,4.3272980102947,2.10894808141735,1.20288522561868,1.39526699742736
"Harp","Beaded",1.51695392821656,1.67879951471986,0.660903124854729,0.561059915567891,4.41741777378348,1.98535580593678,1.33063011887894,1.17795462929441
"Harp","Beaded",1.63116852621924,1.67402236864533,0.690847891435143,0.470781710638219,4.40683137258375,2.70742982452999,1.31376506243105,1.46744844972544
"Harp","Beaded",1.72604407561908,1.5836008502495,0.62617908682049,0.518710721128637,4.39798468488431,2.36738076094286,1.31315206438948,1.20718362145671
"Harp","Beaded",1.77961839261441,1.64669738844453,0.681945848373042,0.646787923049804,4.59873831292848,3.48658221095956,1.42829604712686,1.05435773314606
"Harp","Beaded",1.6730665833353,1.56309074654046,0.610812060430011,0.432242301436836,4.32742731984882,2.34867771645355,1.24472213874022,1.41312420926777
